Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	HBP	SF	SO	SB	CS
Goldschmidt, P	ARI	1B	145	514	82	147	43	1	20	82	60	4	9	130	18	3
Hill, A	ARI	2B	156	609	93	184	44	6	26	85	52	4	2	86	14	5
Johnson, C	ARI	3B	136	488	48	137	28	5	15	76	31	4	4	132	5	1
Kubel, J	ARI	LF	141	506	75	128	30	4	30	90	57	2	6	151	1	1
Montero, M	ARI	C	141	486	65	139	25	2	15	88	73	12	2	130	0	0
Upton, J	ARI	RF	150	554	107	155	24	4	17	67	63	5	6	121	18	8
Bourn, M	ATL	CF	155	624	96	171	26	10	9	57	70	3	4	155	42	13
Freeman, F	ATL	1B	147	540	91	140	33	2	23	94	64	7	9	129	2	0
Heyward, J	ATL	RF	158	587	93	158	30	6	27	82	58	2	3	152	21	8
Prado, M	ATL	LF	156	617	81	186	42	6	10	70	58	2	9	69	17	4
Uggla, D	ATL	2B	154	523	86	115	29	0	19	78	94	10	3	168	4	3
Davis, C	BAL	1B	139	515	75	139	20	0	33	85	37	7	3	169	2	3
Hardy, J	BAL	SS	158	663	85	158	30	2	22	68	38	3	2	106	0	0
Jones, A	BAL	CF	162	648	103	186	39	3	32	82	34	13	2	126	16	7
Reynolds, M	BAL	3B	135	457	65	101	26	0	23	69	73	6	2	159	1	3
Wieters, M	BAL	C	144	526	67	131	27	1	23	83	60	4	3	112	3	0
Aviles, M	BOS	SS	136	512	57	128	28	0	13	60	23	2	6	77	14	6
Pedroia, D	BOS	2B	141	563	81	163	39	3	15	65	48	5	6	60	20	6
Ross, C	BOS	LF	130	476	70	127	34	1	22	81	42	3	6	129	2	3
Barney, D	CHC	2B	156	548	73	139	26	4	7	44	33	3	1	58	6	1
Castro, S	CHC	SS	162	646	78	183	29	12	14	78	36	4	5	100	25	13
DeJesus, D	CHC	RF	148	506	76	133	28	8	9	50	61	9	4	89	7	8
Soriano, A	CHC	LF	151	561	68	147	33	2	32	108	44	7	3	153	6	2
Bruce, J	CIN	RF	155	560	89	141	35	5	34	99	62	4	7	155	9	3
Cozart, Z	CIN	SS	138	561	72	138	33	4	15	35	31	3	3	113	4	0
Phillips, B	CIN	2B	147	580	86	163	30	1	18	77	28	8	4	79	15	2
Stubbs, D	CIN	CF	136	493	75	105	13	2	14	40	42	2	1	166	30	7
Brantley, M	CLE	CF	149	552	63	159	37	4	6	60	53	0	4	56	12	9
Cabrera, A	CLE	SS	143	555	70	150	35	1	16	68	52	6	2	99	9	4
Choo, S	CLE	RF	155	598	88	169	43	2	16	67	73	14	1	150	21	7
Kipnis, J	CLE	2B	152	591	86	152	22	4	14	76	67	5	6	109	31	7
Santana, C	CLE	C	143	507	72	128	27	2	18	76	91	3	8	101	3	5
Fowler, D	COL	CF	143	454	72	136	18	11	13	53	68	0	2	128	12	5
Gonzalez, C	COL	LF	135	518	89	157	31	5	22	85	56	2	3	115	20	5
Pacheco, J	COL	3B	132	475	51	147	32	3	5	54	22	3	4	61	7	2
Beckham, G	CWS	2B	151	525	62	123	24	0	16	60	40	7	2	89	5	4
