Player	Team	W	L	ERA	G	GS	SV	SVO	IP	H	R	ER	HR	BB	SO	AVG	WHIP
Kershaw, C	LAD	21	3	1.77	27	27	0	0	198.1	139	42	39	9	31	239	0.196	0.86
Hernandez, F	SEA	15	6	2.14	34	34	0	0	236	170	68	56	16	46	248	0.2	0.92
Sale, C	CWS	12	4	2.17	26	26	0	0	174	129	48	42	13	39	208	0.205	0.97
Cueto, J	CIN	20	9	2.25	34	34	0	0	243.2	169	69	61	22	65	242	0.194	0.96
Wainwright, A	STL	20	9	2.38	32	32	0	0	227	184	64	60	10	50	179	0.222	1.03
Fister, D	WSH	16	6	2.41	25	25	0	0	164	153	52	44	18	24	98	0.246	1.08
Kluber, C	CLE	18	9	2.44	34	34	0	0	235.2	207	72	64	14	51	269	0.233	1.09
Lester, J	OAK	16	11	2.46	32	32	0	0	219.2	194	76	60	16	48	220	0.236	1.1
Hamels, C	PHI	9	9	2.46	30	30	0	0	204.2	176	60	56	14	59	198	0.235	1.15
Richards, G	LAA	13	4	2.61	26	26	0	0	168.2	124	51	49	5	51	164	0.201	1.04
Alvarez, H	MIA	12	7	2.65	30	30	0	0	187	198	65	55	14	33	111	0.275	1.24
Zimmermann, J	WSH	14	5	2.66	32	32	0	0	199.2	185	67	59	13	29	182	0.244	1.07
Greinke, Z	LAD	17	8	2.71	32	32	0	0	202.1	190	69	61	19	43	207	0.247	1.15
Lynn, L	STL	15	10	2.74	33	33	0	0	203.2	185	72	62	13	72	181	0.238	1.26
Wood, A	ATL	11	11	2.78	35	24	0	0	171.2	151	58	53	16	45	170	0.239	1.14
Ross, T	SD	13	14	2.81	31	31	0	0	195.2	165	75	61	13	72	195	0.23	1.21
Roark, T	WSH	15	10	2.85	31	31	0	0	198.2	178	64	63	16	39	138	0.239	1.09
Cobb, A	TB	10	9	2.87	27	27	0	0	166.1	142	56	53	11	47	149	0.231	1.14
Teheran, J	ATL	14	13	2.89	33	33	0	0	221	188	82	71	22	51	186	0.232	1.08
Keuchel, D	HOU	12	9	2.93	29	29	0	0	200	187	71	65	11	48	146	0.252	1.18
Bumgarner, M	SF	18	10	2.98	33	33	0	0	217.1	194	81	72	21	43	219	0.24	1.09
Samardzija, J	OAK	7	13	2.99	33	33	0	0	219.2	191	86	73	20	43	202	0.234	1.07
Volquez, E	PIT	13	7	3.04	32	31	0	0	192.2	166	75	65	17	71	140	0.235	1.23
Gray, S	OAK	14	10	3.08	33	33	0	0	219	187	84	75	15	74	183	0.232	1.19
Strasburg, S	WSH	14	11	3.14	34	34	0	0	215	198	86	75	23	43	242	0.245	1.12
Scherzer, M	DET	18	5	3.15	33	33	0	0	220.1	196	80	77	18	63	252	0.238	1.18
Ventura, Y	KC	14	10	3.2	31	30	0	0	183	168	70	65	14	69	159	0.24	1.3
Shields, J	KC	14	8	3.21	34	34	0	0	227	224	95	81	23	44	180	0.256	1.18
Price, D	DET	15	12	3.26	34	34	0	0	248.1	230	100	90	25	38	271	0.24	1.08
Quintana, J	CWS	9	11	3.32	32	32	0	0	200.1	197	87	74	10	52	178	0.257	1.24
Archer, C	TB	10	9	3.33	32	32	0	0	194.2	177	85	72	12	72	173	0.243	1.28
Tillman, C	BAL	13	6	3.34	34	34	0	0	207.1	189	83	77	21	66	150	0.238	1.23
Liriano, F	PIT	7	10	3.38	29	29	0	0	162.1	130	68	61	13	81	175	0.218	1.3
Buehrle, M	TOR	13	10	3.39	32	32	0	0	202	228	83	76	15	46	119	0.287	1.36
Niese, J	NYM	9	11	3.4	30	30	0	0	187.2	193	80	71	17	45	138	0.268	1.27
Porcello, R	DET	15	13	3.43	32	31	0	0	204.2	211	89	78	18	41	129	0.268	1.23
Simon, A	CIN	15	10	3.44	32	32	0	0	196.1	181	80	75	22	56	127	0.245	1.21
Collmenter, J	ARI	11	9	3.46	33	28	1	1	179.1	163	75	69	18	39	115	0.246	1.13
Hammel, J	OAK	10	11	3.47	30	29	0	0	176.1	154	70	68	23	44	158	0.235	1.12
Gallardo, Y	MIL	8	11	3.51	32	32	0	0	192.1	195	86	75	21	54	146	0.261	1.29
Iwakuma, H	SEA	15	9	3.52	28	28	0	0	179	167	70	70	20	21	154	0.244	1.05
Hughes, P	MIN	16	10	3.52	32	32	0	0	209.2	221	88	82	16	16	186	0.268	1.13
Peralta, W	MIL	17	11	3.53	32	32	0	0	198.2	198	88	78	23	61	154	0.261	1.3
Chen, W	BAL	16	6	3.54	31	31	0	0	185.2	193	77	73	23	35	136	0.266	1.23
Lohse, K	MIL	13	9	3.54	31	31	0	0	198.1	183	87	78	22	45	141	0.246	1.15
Wheeler, Z	NYM	11	11	3.54	32	32	0	0	185.1	167	84	73	14	79	187	0.24	1.33
Kazmir, S	OAK	15	9	3.55	32	32	0	0	190.1	171	81	75	16	50	164	0.238	1.16
Hudson, T	SF	9	13	3.57	31	31	0	0	189.1	199	86	75	15	34	120	0.27	1.23
Harang, A	ATL	12	12	3.57	33	33	0	0	204.1	215	88	81	15	71	161	0.273	1.4
Weaver, J	LAA	18	9	3.59	34	34	0	0	213.1	193	87	85	27	65	169	0.239	1.21
Kennedy, I	SD	13	13	3.63	33	33	0	0	201	189	85	81	16	70	207	0.25	1.29
Garza, M	MIL	8	8	3.64	27	27	0	0	163.1	143	77	66	12	50	126	0.233	1.18
Norris, B	BAL	15	8	3.65	28	28	0	0	165.1	149	68	67	20	52	139	0.242	1.22
Young, C	SEA	12	9	3.65	30	29	0	0	165	143	70	67	26	60	108	0.234	1.23
Cosart, J	MIA	13	11	3.69	30	30	0	0	180.1	173	80	74	9	73	115	0.255	1.36
Leake, M	CIN	11	13	3.7	33	33	0	0	214.1	217	93	88	23	50	164	0.263	1.25
Vargas, J	KC	11	10	3.71	30	30	0	0	187	197	82	77	19	41	128	0.267	1.27
Kuroda, H	NYY	11	9	3.71	32	32	0	0	199	191	91	82	20	35	146	0.249	1.14
Dickey, R	TOR	14	13	3.71	34	34	0	0	215.2	191	101	89	26	74	173	0.233	1.23
Peavy, J	SF	7	13	3.73	32	32	0	0	202.2	196	91	84	23	63	158	0.258	1.28
Miller, S	STL	10	9	3.74	32	31	0	0	183	160	78	76	22	73	127	0.236	1.27
Feldman, S	HOU	8	12	3.74	29	29	0	0	180.1	185	86	75	16	50	107	0.266	1.3
Koehler, T	MIA	10	10	3.81	32	32	0	0	191.1	177	84	81	16	71	153	0.248	1.3
Lackey, J	STL	14	10	3.82	31	31	0	0	198	206	94	84	24	47	164	0.265	1.28
Elias, R	SEA	10	12	3.85	29	29	0	0	163.2	151	77	70	16	64	143	0.248	1.31
Santana, E	ATL	14	10	3.95	31	31	0	0	196	193	90	86	16	63	179	0.266	1.31
Vogelsong, R	SF	8	13	4	32	32	0	0	184.2	178	86	82	18	58	151	0.254	1.28
Haren, D	LAD	13	11	4.02	32	32	0	0	186	183	101	83	27	36	145	0.252	1.18
McCarthy, B	NYY	10	15	4.05	32	32	0	0	200	222	100	90	25	33	175	0.28	1.28
Colon, B	NYM	15	13	4.09	31	31	0	0	202.1	218	97	92	22	30	151	0.273	1.23
Hernandez, R	LAD	8	11	4.1	32	29	0	1	164.2	156	84	75	19	73	105	0.25	1.39
Odorizzi, J	TB	11	13	4.13	31	31	0	0	168	156	79	77	20	59	174	0.242	1.28
Guthrie, J	KC	13	11	4.13	32	32	0	0	202.2	215	100	93	23	49	124	0.272	1.3
Stults, E	SD	8	17	4.3	32	32	0	0	176	197	93	84	26	45	111	0.283	1.38
Miley, W	ARI	8	12	4.34	33	33	0	0	201.1	207	103	97	23	75	183	0.269	1.4
Eovaldi, N	MIA	6	14	4.37	33	33	0	0	199.2	223	107	97	14	43	142	0.282	1.33
